Production of alumina,tonnes (Al2O3 content),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Australia,,,20914745,,21528263,,20475523,,20097181,,20680827,,20485770,,20061795,,20239198,,20837142,,20624088,,19528493
Azerbaijan,,,101780,,,,,,,,,,,,,,,,,,,,
Bosnia & Herzegovina,,,202416,,175961,,170646,,250845,,187515,,247449,,261700,,213518,,122241,,172974,,180278
Brazil,,,10320600,,9942100,,10404000,,10451500,,10885500,,11060600,,8258000,,9170800,,20368800,,10992300,*,11200000
Canada,,,1498605,,1554604,,1562559,,1560932,,1566467,,1570000,,1568000,,1522000,,1518000,,1471000,,1478000
China,,,37696300,,47749600,,52399100,,58978355,,61034354,,69056100,,73607591,,71474166,,73131946,,77480000,,81862000
France,,,430000,,430000,,4e+05,,432000,*,5e+05,,5e+05,,5e+05,*,5e+05,*,5e+05,*,5e+05,,0
Germany,,*,1e+06,*,1e+06,*,1e+06,*,1e+06,*,1e+06,*,1e+06,*,1e+06,,1025000,,1050000,,1065000,,920000
Greece,,,642880,,665512,,674040,,674420,,693460,,695400,,678140,,672400,,672500,,697100,,689100
Guinea,,,167020,,,,0,,0,,0,,0,,182000,,368000,,438700,,409870,,336100
Hungary,,*,111000,*,81100,*,1000,,,,,,,,,,,,,,,,
India,,(d),3609815,(d),4079301,(d),5024215,(d),5572293,(d),6075839,(d),6119449,(d),6446370,(d),6739500,(d),6624500,(d),7325000,(d),7441000
Indonesia,,,0,,0,,0,,69869,*,495000,,917099,,842536,,1148422,,1162100,,1363100,*,1400000
Iran,,(a),227000,(a),249000,(a),251000,(a),241368,(a),235081,(a),240168,(a),237563,(a),233267,(a),231612,(a),230682,(a),225942
"Ireland, Republic of",,,1250600,#,1867848,,1876851,,1897616,,1898054,,1880057,,1818065,,1860970,,1822368,,1878000,,1629000
Jamaica,,,1757693,,1854910,,1850960,,1864645,,1865278,,1782373,,2483572,,2172977,,1620943,,1158450,,634103
Japan,,*,350000,*,270000,*,116000,*,19000,*,17000,,19999,,20000,,25000,,17700,,24200,*,25000
Kazakhstan,,,1510000,,1590000,,1628252,,1448280,,1500013,,1508240,,1493072,,1406229,,1399949,,1315000,,1338100
Romania,,,414000,,391000,,362627,,404825,,467031,,472606,,571772,,460911,,426393,,498603,,108408
Russia,,,2719000,,2659000,,2572000,,2593000,,2682000,,2822000,,2763000,,2755000,,2873000,,3054000,,3080000
Saudi Arabia,,,0,,0,,23000,,846000,,1429000,,1484000,,1774000,,1798340,,1782041,,1879000,,1745000
Spain,,*,1100000,,1573000,,1517000,,1633000,,1579000,,1588000,,1589000,,1595000,,1553000,,1536000,,1343000
Suriname,,,1202806,,1149392,,1149388,,779660,,,,,,,,,,,,,,
Turkey,,*,220000,*,186000,*,190000,*,2e+05,*,260000,*,260000,*,260000,*,260000,*,260000,*,260000,*,260000
USA,,,4372000,,4324000,,4461000,,4550000,,2360000,,1430000,,1570000,,1410000,,1340000,,1e+06,,1200000
Ukraine,,,1429000,,1493000,,1455000,,1481000,,1510000,,1676000,,1715000,,1690000,,1725000,,1800000,*,3e+05
United Arab Emirates,,,,,,,,,0,,0,,0,,0,,1100000,,1920000,,2300000,,2430000
Venezuela,,,808043,,579874,,660195,,459488,*,312000,*,212000,,,,,,,,,,
Vietnam,,,0,,214000,,485000,*,474000,*,597000,,1062000,,1301300,,1382100,,1384706,,1456068,,1428503
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,"Where possible figures in this table show the alumina equivalent (Al2O3) of total hydrate produced, whether or not calcined",,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
2:,The figures in this table represent alumina produced from bauxite. Alumina-rich materials can also be derived from salt slags formed during the production of secondary aluminium,,,,,,,,,,,,,,,,,,,(2007 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Years ended 20 March following that stated,,,,,,,,,,,,,,,,,,,,,,
d),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
