Production of bauxite,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Australia,,,76281247,,81119334,,78630996,,80909261,,83517148,,89420589,,95947593,,107422912,,103626811,,103266404,,102289514
Bosnia & Herzegovina,,,800316,,657115,,605215,,787409,,738609,,740384,,760244,,1043343,,619748,,675269,,699926
Brazil,,(c),34987800,(c),33903800,(c),36313200,,37057000,,39244200,,38072100,,32006900,,31937900,,32897800,,35949600,*,3.6e+07
China,,,44052300,,50339383,,59212401,,60787599,,66157689,*,6.9e+07,,70751214,*,4.2e+07,*,4.2e+07,*,4e+07,,74300000
Colombia,,,384,,1108,,601,,861,,693,,2400,,13666,,18032,,9595,,3200,,0
Croatia,,,5690,,8220,,9150,,11900,,9780,,12215,,11780,,14342,,14080,,14450,,17750
Dominican Republic,,,10522,,769530,,1749308,,1724162,,8796,,0,,6525,,7551,,9475,,71517,,104158
Fiji,,,349556,,564777,,489476,,120726,,59500,*,60000,*,58000,,0,,0,,0,,0
France,,(l),69500,(l),1e+05,(l),71000,(l)*,70000,(l)*,110000,(l)*,131000,(l),138800,(l),120800,(l),123500,(l),142800,(l),118000
Ghana,,,752771,,826994,,798114,,1014605,,1143676,,1476966,,1011302,,1116334,,1162086,,839465,,773213
Greece,,,1816000,,1844000,,1876000,,1831000,,1880000,,1927000,,1607000,,1492000,,1428000,,1227498,,1173000
Guinea,,(n),17823000,(n),20349000,(n),20288000,(n),20905000,(n),32423932,(n),51701564,(n),59573707,(n),70173326,(n),87766199,(n),87438557,(n),103525513
Guyana,,,2213972,,1713242,,1563563,,1526467,,1479090,,1459223,,1926053,,1919747,,608168,,618452,,705631
Hungary,,,255000,,93700,,14400,,8300,,16700,,1300,,4200,,0,,0,,0,,0
India,,(f),16507960,(f),22319148,(f),22493671,(f),28123789,(f),24745487,(f),22786106,(f),23687721,(f),22073398,(f),21825227,(f),22493947,,23843329
Indonesia,,,31443325,,57023774,,2556429,,611000,*,1485000,*,4200000,,13243197,,16592739,,25859895,,25781187,,28808674
Iran,,(a),898437,(a),903559,(a),748297,(a),840681,(a),868255,(a),1046634,(a),805231,(a),1163159,(a),1115008,(a)*,1110000,(a)*,1e+06
Ivory Coast,,,,,,,,,,,0,,0,,0,,0,,272295,,0,,0
Jamaica,,,9339291,,9435214,,9676697,,9628824,,8540130,,8244628,,10058228,,9022286,,7616284,,5937320,,4364729
Kazakhstan,,,5170000,,5192800,,4515600,,4682600,,4801300,,4846100,,5736200,,4118400,,4057800,*,4370300,,4175900
Malaysia,,,121873,,208770,(m)*,3500000,(m)*,27700000,,342924,,189131,,589684,,900561,,549714,,47577,,129825
Mexico,,,96000,,,,,,,,,,,,,,,,,,,,
Montenegro,,,0,,61154,,155153,,50369,*,516200,,927847,,468164,,774725,,897057,,542049,,442067
Mozambique,,,8633,,6190,,3324,,4985,,1451,,3182,,9912,,8024,,6491,,7852,,14583
Pakistan,,(e),30223,(e),25288,(e),31156,(e),24689,(e),57024,(e),75375,(e),145189,(e),92936,(e),101047,(e),97495,(e)*,75000
Russia,,,5166000,,5322000,,5589000,,5398000,,5432000,,5523000,,7039400,,6954800,,6943500,,7045256,,7858814
Saudi Arabia,,,760114,,1044360,,2076000,,3022000,,4768000,,4117000,,4730690,,5127000,,5227000,,5488000,*,5500000
Sierra Leone,,,776000,,616000,,1161705,,1435195,,1429600,,1823570,,2034360,,1962500,,1441987,,1455554,,973599
Solomon Islands,,,0,,0,*,40,*,262000,(m)*,234000,(m)*,1524000,(m)*,1601000,(m)*,1207000,(m)*,839000,(m)*,0,(m)*,0
Suriname,,,2874312,,2670680,,2707719,,1865148,,,,,,,,,,,,,,
Tanzania,,,28434,,39977,,25641,,205,,73,,12,,10796,,0,,25995,,38142,,40921
Turkey,,,1521150,,795562,,1091442,,518550,,989156,,1719144,,678138,,2255480,,2399680,,2764873,,1383231
USA,,(g)(h),116258,(g)(h),122702,(g)(h),133266,(g)(h),483695,(g)(h),272908,(g)(h),352096,(g)(h),399712,(g)(h),154870,(g)(h),16438,(g)(h),0,(g)(h),13900
Venezuela,,,2285949,,2346160,,2346160,,991810,,340000,,242099,,89699,*,50000,,0,,0,,0
Vietnam,,*,1e+05,,482000,,1100000,*,1100000,*,1400000,*,2800000,,3569700,*,3200000,*,3120000,*,3300000,*,3200000
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,This table includes production of refractory bauxite,,,,,,,,,,,,,,,,,,,(1994 Onwards),,,
2:,"In addition to the countries listed, some bauxite continues to be produced in Mexico but it is all used as construction aggregates and figures are not reported.",,,,,,,,,,,,,,,,,,,(2012 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Years ended 20 March following that stated,,,,,,,,,,,,,,,,,,,,,,
c),Including beneficiated and direct shipping ore,,,,,,,,,,,,,,,,,,,,,,
e),Years ended 30 June of that stated,,,,,,,,,,,,,,,,,,,,,,
f),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
g),Data for Alabama only,,,,,,,,,,,,,,,,,,,,,,
h),Years ended 30 September of that stated,,,,,,,,,,,,,,,,,,,,,,
l),For non-metallurgical uses,,,,,,,,,,,,,,,,,,,,,,
m),Conservative BGS estimate based on reported exports,,,,,,,,,,,,,,,,,,,,,,
n),No adjustment has been made for moisture content,,,,,,,,,,,,,,,,,,,,,,
