Production of lithium minerals,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Argentina,Carbonate,,12501,,11575,,13428,,17464,,24409,,26559,,29707,,30009,,26846,,47917,*,50000
Argentina,Chloride,,1868,,1730,,2006,,2609,,6468,,4501,,5005,,4284,,7705,,6017,*,6200
Argentina,Lithium minerals (Carbonate -Li content),,2350,,2176,,2524,,3283,,4589,,4993,,5585,,5642,,5047,,9008,*,9400
Argentina,Lithium minerals (Chloride -Li content),,304,,282,,327,,425,,1054,,734,,816,,698,,1256,,981,*,1011
Australia,Lithium minerals (Li content),,12609,,11279,,12376,,12236,,14538,,47512,,54731,,44217,,41126,,54754,,74716
Australia,Spodumene,,452921,,405119,,444546,,439514,,522181,,1706619,,1965912,,1588263,,1477240,,1966744,,2754727
Bolivia,Carbonate,,0,,0,,0,,0,*,162,*,60,*,230,*,400,,191,,540,,617
Bolivia,Lithium minerals (Li content),,0,,0,,0,,0,*,30,*,11,*,43,*,75,*,36,*,102,*,116
Brazil,Lithium minerals (Li content),,163,,198,,213,,145,,221,,264,,435,,1198,,1888,,2634,,3652
Brazil,Spodumene,,6504,,7982,,8519,,5781,,8804,,10547,,17354,,47818,,74101,,102938,,143720
Canada,Carbonate,*,0,*,0,,108,,0,,0,,,,,,,,,,,,
Canada,Lithium minerals (Carbonate -Li content),*,0,*,0,,20,,0,,0,,,,,,,,,,,,
Canada,Lithium minerals (Li content),,,,,,,,0,,0,,32,,4092,,263,*,0,,0,,0
Canada,Spodumene,,,,,,0,,0,,,,1100,,140000,,9000,*,0,,0,,0
Chile,Carbonate,,11656,,9843,,55074,,50418,,70831,,73563,,87029,,100787,,114260,,150348,,201950
Chile,Chloride,,676,,667,,2985,,2069,,1775,,2535,,3826,,1886,,0,,0,,0
Chile,Lithium minerals (Carbonate -Li content),,2191,,1850,,10354,,9479,,13316,,13830,,16361,,18948,,21481,,28265,,37967
Chile,Lithium minerals (Chloride -Li content),,110,,109,,487,,337,,289,,413,,624,,307,,0,,0,,0
Chile,Lithium minerals (Li content),(i),148,(i),114,(i),692,(i),642,(i),920,(i),871,(i),1067,(i),1639,(i),1490,(i),2001,(i),2601
Chile,Lithium minerals (hydroxide),,899,,693,,4194,,3888,,5576,,5280,,6468,,9934,,9030,,12129,,15763
China,Lithium minerals (Li content),*,1900,*,2100,*,1900,*,3900,*,4800,*,7000,*,7100,*,10800,*,13300,*,14000,*,14000
Namibia,Lepidolite,,0,,0,,0,,0,,0,,0,,30000,,0,,0,,0,,325400
Namibia,Lithium minerals (Li content),,0,,0,,0,,0,,0,,0,,88,,0,,0,,0,,951
Nigeria,Lithium minerals (Li content),,0,,0,,0,,0,,0,,0,,24,,2,*,2,*,2,*,2
Nigeria,Petalite,,0,,0,,0,,0,,0,,0,,1267,,133,*,130,*,130,*,130
Portugal,Lepidolite,,20698,,19940,,17459,,19275,,40758,,52741,,76818,,59912,,23185,,18533,*,19000
Portugal,Lithium minerals (Li content),,144,,139,,122,,134,,284,,538,,535,,417,,161,,129,,132
USA,Lithium minerals (Li content),(c)*,1000,(c),870,(c)*,900,(c)*,900,(c)*,900,(c)*,4000,(c)*,7000,(c)*,4000,(c)*,4000,(c)*,5000,(c)*,2700
Zimbabwe,Lithium minerals (Li content),,894,,837,,837,,837,,913,,970,,1332,,1191,,397,,775,,1642
Zimbabwe,Petalite,,47000,,44000,,44000,,44000,,48000,,51000,,70000,,62623,,20859,,40726,,86330
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,"In addition to the countries listed, Russia also produces lithium minerals",,,,,,,,,,,,,,,,,,,(1993 Onwards),,,
1:,"In addition to the countries listed, Russia has also produced lithium minerals in the past.",,,,,,,,,,,,,,,,,,,(2005 Onwards),,,
2:,"In addition to the countries listed, Bolivia is believed to produce lithium minerals.",,,,,,,,,,,,,,,,,,,(2010 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Li content,,,,,,,,,,,,,,,,,,,,,,
c),Carbonate,,,,,,,,,,,,,,,,,,,,,,
e),Chloride,,,,,,,,,,,,,,,,,,,,,,
g),"Carbonate, hydroxide and chloride",,,,,,,,,,,,,,,,,,,,,,
i),Hydroxide,,,,,,,,,,,,,,,,,,,,,,
