Production of manganese ore,tonnes (metric),...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Australia,,,7178975,,7425985,,7587207,,6281497,,5327566,,6172266,,7212118,,6649432,,6425848,,6188587,,6322670
Bolivia,,,,,,,,,0,,0,,0,*,550,*,3550,*,4700,*,5100,*,420
Brazil,,,2796000,,2833000,,2723000,,2816675,,2880718,,3273029,,3306735,,369737,,2469313,,1435561,,1344155
Bulgaria,,,39100,,103600,,93700,,46500,,41700,,2000,,,,,,,,,,
Burkina Faso,,,0,,0,,0,,,,,,,,,,,,,,,,
China,,*,2e+07,*,17500000,*,15500000,,13011000,,15484000,,11333000,*,7900000,*,6500000,*,6600000,*,5e+06,*,5e+06
Colombia,,*,540,*,773,*,682,*,324,,0,,0,*,470,*,864,,0,,0,,0
"Congo, Democratic Republic",,,,,,,,,0,,0,,0,(b),14884,(b),4935,(b)*,5000,(b)*,5000,(b)*,5000
Egypt,,(j)*,40000,(j),31325,(j),22299,(j)*,0,(j),0,(j),124794,(j)*,120000,(j)*,120000,(j)*,1e+05,(j)*,90000,(j)*,90000
Gabon,,,3363170,,4091399,,4081000,,4184000,,3423247,,5079000,,6542000,,7186000,,8147000,,9241000,,10200000
Georgia,,(f)*,370000,(f)*,370000,(f)*,370000,(f)*,370000,(f)*,370000,(f)*,370000,(f),349354,(f),305562,(f),302200,(f),332400,(f),352200
Ghana,,,1490634,,1997911,,1531394,,1562769,,2018254,,3003580,,4551754,,5383014,,2357515,,3336273,,3171722
Hungary,,,51000,,35000,,51000,,57000,,19000,,,,,,,,,,,,
India,,(g),2342169,(g),2626291,(g),2369481,(g),2166947,(g),2395134,(g),2599815,(g),2820227,(g),2910186,(g),2688038,(g),2695991,,2798694
Indonesia,,,,,,,,,,,,,,,,,,,,,,,
Iran,,(d),172560,(d),163367,(d),139736,(d),86523,(d),78955,(d),100780,(d),128617,(d),130625,(d),289927,(d)*,290000,(d)*,290000
Ivory Coast,,,120486,,271562,,308401,,294904,,200278,,511868,,930559,,1181803,,1325525,,928930,*,929000
Kazakhstan,,,2975000,,2852100,,2608800,,1625700,,1600700,,1460000,,1427300,,1142300,,813500,,1248700,,1100000
Kenya,,,,,0,,0,,,,,,,,,,,,,,,,
Malaysia,,,1099585,,1125127,,835429,,480727,,700717,,1226106,,1262725,,1130749,,869864,,668558,,744576
Mexico,,,510942,,580309,,652465,,592728,,549589,,561612,,556220,,534044,,565619,,560742,,574665
Morocco,,,90200,,111000,,91271,,71700,,70138,,99008,,79538,,71210,,84087,,82507,*,83000
Myanmar,,*,286000,*,394000,*,242000,*,70000,*,293000,*,346000,*,519000,*,982000,*,634000,*,515000,*,518000
Namibia,,,188862,,133474,,104527,,38360,,16896,,27915,,23045,,32145,,37072,*,30832,,23269
Oman,,,37500,,49000,,37500,,7400,,21300,,33900,,44700,,50000,,14500,,15100,,13500
Peru,,,,,,,,,0,*,2650,*,2500,*,46400,*,41800,*,22500,*,25313,*,2600
Romania,,,8993,,21300,,12662,,40262,,4477,*,8000,*,26000,*,45000,*,29000,*,29000,*,18000
Russia,,,8200,,,,,,,,,,,,,,,,,,,,
South Africa,Chemical,,11943,*,22000,*,27000,,,,,,,,,,,,,,,,
South Africa,Metallurgical,,8931472,*,10930000,*,13830000,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,15979170,,13735509,,14143794,,14919207,,17008951,,16198506,,19156479,,18966594
Sudan,,,0,,3250,,20000,*,9000,,9800,*,4000,*,4000,*,1000,*,0,*,0,*,0
Thailand,,,8151,,14320,,14330,,9000,,2750,,8020,,4000,,4800,,1400,,0,,660
Turkey,,,192756,,321785,,245830,,142809,,46867,,77895,,85334,,114037,,101766,,86654,,64204
Ukraine,,,1234007,,1524696,,1526218,,1477200,,1328271,,1758172,,1845156,,1854240,*,1850000,*,1850000,*,9e+05
Vietnam,,*,15800,*,9700,*,10000,,20700,,13400,,50000,,115000,,106000,,121000,,146000,*,146000
Zambia,,,,,,,,*,140000,*,120000,,92675,,77277,,15904,,46515,,132241,,161611
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,"Estimated average manganese content is given in parentheses for each country, relating where possible to the later years",,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
1:,"In addition to the countries listed, Colombia, Cuba and Vietnam are believed to produce manganese ore",,,,,,,,,,,,,,,,,,,(1993 Onwards),,,
1:,"In addition to the countries listed, Colombia and Cuba may produce manganese ore",,,,,,,,,,,,,,,,,,,(2010 Onwards),,,
1:,"In addition to the countries listed, Colombia, Cuba and Nigeria may produce manganese ore",,,,,,,,,,,,,,,,,,,(2015 Onwards),,,
2:,"In addition to the countries listed, Colombia, Cuba and Vietnam are believed to produce manganese ore",,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
b),Including beneficiated and direct shipping ore,,,,,,,,,,,,,,,,,,,,,,
d),Years ended 20 March following that stated,,,,,,,,,,,,,,,,,,,,,,
f),Marketable,,,,,,,,,,,,,,,,,,,,,,
g),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
j),Years ended 30 June of that stated,,,,,,,,,,,,,,,,,,,,,,
