Production of mercury,kilograms,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Argentina,,,37000,,28000,*,25000,,59480,,135377,,54469,,,,,,,,,,
Chile,,(a)(c)*,47900,(a)(c)*,19000,(a)*,18000,(a)*,14000,(a)*,2000,(a)(c)*,11000,,,,,,,,,,
China,,,1347000,,1822000,,2259000,,2801000,,3482000,,3573000,,2317000,,2232000,,1993000,,1280000,*,1e+06
Iran,,,,,10000,,12000,,14000,,,,,,,,,,,,,,
Kyrgyzstan,,,74000,,31000,,46000,,20000,*,20000,*,20000,*,10000,*,10000,*,7000,*,6000,,5000
Mexico,,(c)*,235300,(c)*,266900,(c)*,300900,(c)*,250000,(c)*,240000,(c)*,140000,(c)*,230000,(c)*,70000,(c)*,70000,(c)*,40000,(c)*,10000
Morocco,,*,20000,*,20000,*,8000,*,5000,*,5000,*,14000,*,3000,*,2000,*,1000,*,2000,*,2000
Russia,,*,50000,*,50000,*,50000,*,50000,*,50000,*,50000,*,50000,*,50000,*,50000,*,30000,*,30000
Tajikistan,,,103000,,130000,,85000,,96000,*,1e+05,*,1e+05,,1e+05,,90600,,177700,*,350000,*,330000
USA,,*,15000,*,15000,*,15000,*,15000,*,15000,*,15000,*,15000,*,15000,*,15000,*,15000,*,15000
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,Several countries are believed to have unrecorded production of mercury from copper electrowinning processes,,,,,,,,,,,,,,,,,,,(1992 Onwards),,,
1:,Several countries are believed to have unrecorded production of mercury from copper electrowinning processes and by recovery from effluents,,,,,,,,,,,,,,,,,,,(2000 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),From copper solvent extraction and electrowinning processes,,,,,,,,,,,,,,,,,,,,,,
c),BGS estimates based on net exports,,,,,,,,,,,,,,,,,,,,,,
