Production of tin,mine,tonnes (metal content),...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Australia,,,6158,,6472,,6898,,7158,,6635,,7402,,6871,,7738,,8118,,8772,,9001
Bolivia,,,19702,,19287,,19791,,20175,,17804,,18385,,17251,,17147,,14709,,19628,,17613
Brazil,,,13667,,16830,,25534,,25000,,26000,,18000,,17984,,18684,,16634,,8203,,9799
Burundi,,,117,,56,,81,,55,,51,,123,,126,,143,,121,*,100,*,100
China,,,115700,,101236,,102052,,110156,,97165,,95549,,94838,,85840,,94463,,83144,,67365
Colombia,,,0,,0,,5,,2,,0,,0,,0,,22,,10,,0,,0
"Congo, Democratic Republic",,,10439,,3427,,4012,,4567,,6503,,9725,,8950,,10991,,14673,,15963,,14971
Egypt,,(j),0,(j),69,(j),85,(j),3,,,,,,,,,,,,,,
India,,(i),36,(i),26,(i),19,(i),10,(i),9,(i),13,(i),16,(i),12,(i),13,(i),20,,28
Indonesia,,,103324,,92491,,88300,,70400,,69500,,78070,,82809,,86947,,65127,,52467,,57735
Korea (Rep. of),,,,,20,,68,,7,,63,,8,,10,,17,,1,,1,,0
Laos,,,468,,521,,782,,692,,1005,,975,,432,,526,,601,,891,,1130
Malaysia,,,3725,,3697,,3777,,4125,,4158,,3894,,3868,,3611,,2963,,3013,,3521
Mongolia,,(f)*,54,(f)*,60,(f)*,60,(f)*,3,(f)*,25,(f)*,16,(f)*,26,(f)*,20,(f)*,20,*,10,,46
Myanmar,,*,5000,*,19000,*,26000,*,43000,*,57000,*,68000,*,55000,*,50000,*,36000,*,32000,,40500
Namibia,,,,,,,,,0,,0,,0,,0,,4,,284,,470,,522
Niger,,,1,,8,,5,,8,*,8,,,,,,,,,,,,
Nigeria,,,2408,,2516,,2485,,2298,,3443,,8626,,7852,,7020,,5848,,6900,,8121
Peru,,(a),26105,(a),23668,(a),23105,(a),19511,(a),18789,(a),17790,(a),18601,(a),19853,(a),20647,(a),26995,(a),28231
Portugal,,,42,,84,,75,,42,,54,,81,,111,,108,,104,,60,,60
Russia,,,249,,156,,321,,575,,627,,1011,,1530,,2471,,2539,,2908,,3507
Rwanda,,(k),3477,(j)(k)#,2943,(j)(k),3560,(j)(k),3071,(j)(k),2200,(j)(k),2592,(j)(k),3190,(j)(k),2688,(j)(k),1728,(j)(k),2158,(j)(k),2290
Spain,,,69,,0,,0,,0,,7,,23,,81,,101,,115,,220,,314
Tanzania,,,68,,118,,59,,134,,104,,68,,6,,18,,35,,158,,404
Thailand,,,199,,83,,98,,45,,59,,341,,47,,46,,194,,216,,84
Uganda,,,0,,19,,33,,135,,63,,66,,53,,15,,0,,2,,0
United Kingdom,,,0,,0,,0,,0,,160,,255,*,230,,0,,0,,0,,0
Vietnam,,,3191,,5129,,4072,,4399,,4468,,5200,,5521,,6071,,7260,,7666,,8139
Notes,,,,,,,,,,,,,,,,,,,,,,,
Table notes,,,,,,,,,,,,,,,,,,,,,,,
1:,"The figures in this table include artisanal mining, where data are available",,,,,,,,,,,,,,,,,,,(2015 Onwards),,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
a),Recoverable,,,,,,,,,,,,,,,,,,,,,,
f),Estimate based on reported exports,,,,,,,,,,,,,,,,,,,,,,
i),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
j),Years ended 30 June of that stated,,,,,,,,,,,,,,,,,,,,,,
k),Exports,,,,,,,,,,,,,,,,,,,,,,
