Production of zinc,mine,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24
"
	Country",Sub-commodity,2012.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,2018.0,,2019.0,,2020.0,,2021.0,,2022.0,
Algeria,,,,,0,,0,,50,,314,*,500,*,500,,1000,,1600,,500,,900
Argentina,,,42000,,47650,,47981,,33787,,26680,,23392,,22050,,16407,,8569,,6187,,3893
Armenia,,,9729,,9570,,8825,,6791,,4735,,5784,,6497,,6743,,7758,,6373,,5967
Australia,,,1536109,,1510738,,1505968,,1610004,,884826,,852164,,1146781,,1337321,,1314910,,1315160,,1243715
Bolivia,,,389911,,407332,,450542,,443172,,489293,,527206,,519630,,527521,,358411,,499257,,517523
Bosnia & Herzegovina,,,7600,,9102,,7837,,8946,,9670,,10235,,10603,,6440,,4849,,5309,,5629
Brazil,,,164258,,152147,,169766,,157000,,158200,,156500,,169800,,163400,,173000,,159000,,150000
Bulgaria,,(c),12116,(c),13902,(c),11872,#,10783,,11415,,10886,,11367,,14570,,15689,,14556,,13762
Burkina Faso,,,0,,32215,,64976,,68804,,81422,,92731,,99162,,95611,,73543,,74295,,23200
Canada,,,641134,,426545,,352125,,289584,,301210,,346776,,304964,,323019,,371491,,310158,,116533
Chile,,,26762,,29759,,45094,,48071,,42870,,29008,,26810,,5620,,28662,,27915,,24092
China,,,4859100,,5187747,,5118394,,4748877,,4710500,,3868500,,3721100,,3685800,,4058000,,4136000,,4041000
Congo,,,,,,,,,,*,300,*,4300,*,500,*,4800,*,1100,*,2600,*,20000
"Congo, Democratic Republic",,,10572,,12144,,12737,,12675,,12587,,12377,,1129,,6134,,15305,,16079,,14613
Cuba,,,,,,,0,,0,,0,*,2900,*,42000,*,57800,*,57700,*,45000,*,52000
Dominican Republic,,,0,,0,,0,,4655,,3636,,3920,,4038,,5527,,2361,,4896,,5485
Eritrea,,,0,,0,,0,,0,,40900,,95400,,125000,,121260,,121930,,129641,,120529
Finland,,,52200,,41124,,46100,,25332,,45852,,66284,,85335,,70068,,61216,,57726,,62433
Georgia,,,,,,,,,,,,,0,,0,,875,,2243,,2059,,4412
Greece,,,20800,,22549,,23085,,13174,,18866,,17300,,21456,,22298,,28037,,22598,,10502
Guatemala,,,442,,1221,,13394,,14810,,14975,,6100,,,,,,,,,,
Honduras,,,26000,,25000,,30000,,24988,,14579,,20436,,28421,,29223,*,27000,*,32000,*,25000
India,,(b),759527,(b),769927,(b),766730,(b),740737,(b),755778,(b),772600,(b),728402,(b),723412,(b),756998,(b),1532044,,832194
Indonesia,,,,,1200,,700,*,19300,*,8500,*,13900,*,20100,*,26200,*,17420,*,15151,,11400
Iran,,,138000,,130000,*,150000,,168200,*,135000,,140000,*,145000,*,150000,*,150000,*,150000,*,150000
"Ireland, Republic of",,,337500,,326700,,282600,,236300,,147797,,130580,,131742,,122500,,127008,,112249,,103300
Kazakhstan,,,425000,,417000,,378100,,369300,,351000,,345000,,346000,,321900,,341400,,318400,,315100
Korea (Rep. of),,,1434,,1749,,1919,,2070,,2257,,3321,,3656,,4106,,4252,,4371,,3959
"Korea, Dem. P.R. of",,*,35000,#,36139,,37261,,45332,,66469,,35671,*,35000,*,30000,*,28000,*,28000,*,28000
Kosovo,,,3818,,4983,,5514,,3986,,4814,,4468,,3619,,3089,,3909,,4513,,5718
Laos,,,883,,1900,,2000,,0,*,700,*,5700,*,3100,*,1300,*,1200,*,5400,*,18000
Mexico,,,660349,,642542,,659878,,786774,,661646,,671444,,662355,,859194,,1008252,,2542751,,877000
Mongolia,,,59550,,52050,,46600,,44800,,50100,,82700,,43950,,41550,,38150,,37600,,103600
Montenegro,,,4677,,5487,,7200,,7068,,8100,,8800,,10668,,9518,,10133,,9357,,8100
Morocco,,,46441,,41625,,45412,,53747,,53880,,51701,,43567,,43600,,35800,,40200,*,35000
Myanmar,,*,8000,*,4800,(b)#,3030,(b),31025,(b),72640,(b),12560,(b),11700,(g)*,25960,(g),6755,(g),9800,(g),12000
Namibia,,,195782,,188402,,173665,,123529,,124749,,132854,,118435,,114735,,62333,,83362,,40500
Nigeria,,,13800,*,6786,*,7000,*,14000,*,14000,*,22000,*,27000,*,23000,*,26900,*,32200,*,40000
North Macedonia,,,28037,,30907,,31570,,29150,,24871,,27846,,29715,,31041,,31748,,30074,,29506
Pakistan,,(e),10024,(e),0,(e),0,(e),0,(e),7702,(e),19457,,26979,,37365,,35054,,35391,,42349
Peru,,,1281282,,1351273,,1315000,,1421218,,1337081,,1473073,,1474383,,1404382,,1334570,,1533135,,1369532
Philippines,,,19559,,16730,,,,,,,,,,,,,,,,,,
Poland,,,76700,,75000,,56000,,52709,,50124,,44959,,41886,,37645,,39500,,40388,,6300
Portugal,,,30006,,53382,,67378,,61921,,71052,,71357,,144983,,161569,,176849,,187703,,182262
Romania,,*,8400,*,2000,*,3300,*,3000,*,1600,*,800,*,600,*,1300,*,100,*,2500,*,7000
Russia,,,189000,,193000,,192000,,206000,,245800,,255200,,288000,,275400,*,260700,,287900,,293000
Saudi Arabia,,,21213,,26293,,41804,,39000,,41640,,21677,,18000,,18900,,50819,,53360,,24700
Serbia,,,6000,,5800,#,8400,,4400,,6200,,11900,,11800,,6900,,6500,,6400,,6500
Slovakia,,,134,,190,,176,,190,,126,,166,,151,,119,,96,,25,,95
South Africa,,,37034,,30145,,26141,,29040,,26695,,30778,,28129,,125157,,160816,,193785,,224356
Spain,,,28634,,30428,,26756,,49216,,76342,,70451,,106352,,90980,,90368,,90481,,82963
Sudan,,,,,0,*,0,,46,,,,,,,,,,,,,,
Sweden,,,188325,,176582,,221841,,246983,,258264,,251244,,237715,,247657,,234811,,236416,,233958
Tajikistan,,*,29900,*,24300,*,54300,,52790,,74087,,92764,,82329,,78148,,48416,,70573,,59056
Thailand,,,24996,,25887,,34033,,27154,,33983,,1182,,,,,,,,,,
Tunisia,,,7400,,7700,,7400,,,,,,,,,,,,,,,,
Turkey,,,195793,,195025,,210152,,173589,,118700,,155900,,184468,,146800,,136300,,180600,*,186000
USA,,,738400,,784400,,832000,,824700,,804800,,773800,,824000,,753000,,723000,,704000,,761000
Uzbekistan,,*,6000,,8000,,8000,,12000,,12000,,37000,,31000,,37000,,41000,,42000,*,42000
Vietnam,,*,25000,*,20000,*,17000,*,15000,*,12000,*,12000,*,12000,*,12000,*,12000,*,12000,*,14000
Zambia,,,,,,,,,0,,0,,0,,0,,0,,245,,500,,400
Notes,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,
#),Break in series,,,,,,,,,,,,,,,,,,,,,,
*),Estimate,,,,,,,,,,,,,,,,,,,,,,
b),Years ended 31 March following that stated,,,,,,,,,,,,,,,,,,,,,,
c),Metal content of ore,,,,,,,,,,,,,,,,,,,,,,
e),Years ended 30 June of that stated,,,,,,,,,,,,,,,,,,,,,,
g),Years ending 30 September of that stated,,,,,,,,,,,,,,,,,,,,,,
